"","X__1","artist.name","duration","key","latitude","location","longitude","mode","similar","tempo","terms","target_h","artist.hotness","artist_familiarity","bars_start","beats_start","end_of_fade_in","loudness","start_of_fade_out","tatums_start","time_signature","decade2"
"597",799,"Enslavement Of Beauty",239.90812,4,37.1573567501336,"NORWAY",-63.9333578685195,0,"ARH40T81187B9B3438",120.052,"parody",0.536570161,0.354517343,0.546206711,1.46342,0.46259,0.13,-4.732,234.092,0.21313,4,"2000"
"598",800,"liquid soul & freq",402.62485,1,37.1573567501336,"Not available",-63.9333578685195,1,"ARBG1WJ1187B9A1D2D",0,"jazz funk",0,0.361917926,0.629008226,1.04851,0.67258,0.276,-6.318,398.582,0.47798,3,"Not Available"
"599",801,"C.J. Chenier",189.33506,5,29.89932,"Port Arthur, TX",-93.92938,1,"ARKJHKX1187FB5AEE5",89.67,"zydeco",0,0.377432972,0.522386247,0.46022,0.46022,0.386,-12.469,182.77,0.23218,3,"1990"
"600",802,"Mercedes Castro",129.74975,3,37.1573567501336,"Not available",-63.9333578685195,1,"ARWGVZO11F4C84241B",129.354,"folk",0,0.373045954,0.435732004,0.32872,0.32872,3.094,-8.077,125.022,0.08763,1,"Not Available"
"601",803,"Snow Patrol",181.57669,7,37.1573567501336,"Dundee, Scotland",-63.9333578685195,1,"ARSPUJF1187B9A14B8",117.966,"indie rock",0.5,0.667294596,0.818319359,0.42099,0.42099,3.721,-6.473,173.053,0.42099,1,"2000"
"602",805,"Sex Pistols",186.40934,4,37.1573567501336,"Not available",-63.9333578685195,1,"ARNTVM11187B98B4B4",133.811,"punk",0.345802234,0.549204384,0.73118423,0.10554,0.10554,0.223,-7.654,179.397,0.10554,1,"Not Available"
"603",806,"Pinchers",195.10812,10,37.1573567501336,"Not available",-63.9333578685195,0,"ARKBYFV1187B9B07FD",158.103,"dancehall",0.433005077,0.340632715,0.558384455,0.59053,0.1907,0.148,-7.551,189.318,0.1907,4,"Not Available"
"604",807,"Trick Trick / Eminem",285.49179,1,37.1573567501336,"Not available",-63.9333578685195,0,"ARDD00U1187B9AEB3F",91.101,"bass music",0.708607217,0.390489535,0.604479007,1.7889,0.47429,0.074,-4.853,274.657,0.14193,4,"2000"
"605",809,"Franco",188.47302,2,37.1573567501336,"Sona-Bata, Zaire",-63.9333578685195,0,"ARNLOX91187B990BFC",178.192,"soukous",0.377531645,0.453270236,0.600486543,0.46017,0.1152,0.183,-8.774,183.786,0.1152,4,"Not Available"
"606",810,"Carlos NuA+-ez",237.87057,0,37.1573567501336,"Not available",-63.9333578685195,1,"ARHBYTA1187FB3C812",113.156,"flamenco",0.327736683,0.384986117,0.535702528,0.35644,0.35644,0.363,-8.691,235.143,0.07832,3,"2000"
"607",811,"Facto Delafe y las flores azules",158.45832,2,37.1573567501336,"Not available",-63.9333578685195,1,"ARWNKQH1271F573C48",95.036,"trip hop",0.212045406,0.363499577,0.636119207,0.74655,0.14878,3.849,-9.65,154.43,0.14878,4,"2000"
"608",812,"Dora The Explorer",68.98893,1,37.1573567501336,"Not available",-63.9333578685195,1,"ARJS05S1187FB58F3A",123.965,"goregrind",0.334706549,0.413757657,0.514414554,0.19895,0.19895,0.277,-6.917,62.787,0.19895,4,"2000"
"609",813,"J.J. Cale",263.94077,0,35.472,"Oklahoma City, OK",-97.52033,1,"ARWBYRS1187FB3DE02",111.492,"blues-rock",0.557313136,0.435468899,0.67577137,0.19756,0.19756,0.13,-14.293,260.882,0.19756,1,"1990"
"610",814,"DJ Spinn",312.94649,6,37.1573567501336,"Not available",-63.9333578685195,0,"ARLHURZ1187FB54C71",119.987,"chicago house",0.05,0.260796778,0.515310233,0.14673,0.14673,0.775,-6.53,299.212,0.14673,3,"Not Available"
"611",815,"Theodis Ealey",227.44771,10,32.67828,"Georgia",-83.22295,0,"ARJ76PC1187B9B0C2D",99.238,"soul blues",0.04,0.3204178,0.514373392,1.0858,0.47022,0.183,-7.405,216.828,0.47022,4,"Not Available"
"612",816,"Janet Paschal",316.36853,7,35.21962,"North Carolina",-80.01955,1,"ARG274E1187FB4BCA8",119.194,"southern gospel",0.339576293,0.335138065,0.382546667,1.43797,0.43629,0.374,-11.536,303.972,0.43629,4,"Not Available"
"613",817,"Everyday Sunday",269.73995,7,37.1573567501336,"Columbus, OH",-63.9333578685195,1,"ARYDTFO1187B99B1E0",103.009,"post-grunge",0.323112121,0.428980521,0.632856419,1.09959,0.52059,0.183,-7.462,250.358,0.23039,4,"2000"
"614",818,"Peggy Zina",200.38485,3,37.1573567501336,"Not available",-63.9333578685195,1,"AR1MIFY1187FB4F861",96.024,"modern laika",0.03,0.304184256,0.324677431,0.97877,0.35103,0.316,-6.654,194.026,0.04106,4,"2000"
"615",819,"Souls Of Mischief",220.96934,4,37.80506,"Oakland, CA",-122.27302,0,"ARV4KO21187FB38008",96.287,"jazz rap",0.60211999,0.469177429,0.649157388,3.50239,0.18528,0.113,-5.911,210.338,0.18528,4,"2000"
"616",821,"Bad Brains",85.26322,9,37.1573567501336,"Washington, D.C.",-63.9333578685195,0,"AR364FV1187B9AE1B8",86.536,"hardcore punk",0.589637891,0.555414576,0.726298027,6.5945,0.29901,0.369,-9.614,85.263,0.06329,4,"1980"
"617",822,"Raze",196.64934,6,37.1573567501336,"Wisconsin",-63.9333578685195,1,"ARWQ9RH1187B99A6B6",108.831,"hip house",0.261034569,0.407373149,0.550303379,0.77482,0.22329,0.096,-2.932,192.493,0.22329,4,"Not Available"
"618",823,"The Presets",271.85587,4,37.1573567501336,"Sydney, Australia",-63.9333578685195,1,"ARHRIPD1187FB4FBED",120.119,"dance rock",0.663124801,0.524449471,0.724864482,1.48499,0.4894,0.078,-4.002,267.685,0.24019,4,"2000"
"619",824,"Steve Wilson",260.38812,7,31.1689,"Texas",-100.07715,1,"ARB3TCS1187B99A0D2",100.006,"folk-pop",0,0.441169843,0.491290395,1.48381,0.29095,2.003,-14.51,251.315,0.29095,4,"Not Available"
"620",825,"Jennifer Lopez",275.69587,6,37.1573567501336,"The Bronx, New York",-63.9333578685195,1,"ARKSZW81187B9B695D",80.979,"dance pop",0.23,0.567889146,0.816842854,1.49017,0.7514,1.46,-6.518,269.328,0.39098,4,"1990"
"621",827,"Francisco CA(c)spedes",204.53832,10,37.1573567501336,"Not available",-63.9333578685195,1,"AR5CKT41187B9B9AB0",110.666,"los angeles",0.537503904,0.349841327,0.558090352,0.58207,0.58207,0.572,-9.84,193.533,0.58207,4,"1990"
"622",828,"Quadro Nuevo",221.28281,2,37.1573567501336,"Not available",-63.9333578685195,1,"ARBYYT61187FB37B64",110.551,"tango",0.215080319,0.409244639,0.53002231,0.86061,0.31229,0.196,-10.566,211.958,0.31229,3,"Not Available"
"623",829,"Chris Farlowe",242.88608,7,37.1573567501336,"Essex, England",-63.9333578685195,1,"ARM0QUW1187B9B66CA",122.298,"blue-eyed soul",0.04,0.338575027,0.543393231,0.85628,0.37378,0.218,-13.224,237.372,0.05212,4,"Not Available"
"624",832,"Alice In Chains",267.36281,1,37.1573567501336,"Seattle, WA",-63.9333578685195,1,"ARKNGPL1187B9B90F0",92.012,"grunge",0.708746211,0.582921577,0.79633706,0.17795,0.17795,0.119,-6.478,260.278,0.17795,1,"1990"
"625",834,"Matisyahu",417.67138,5,40.65507,"Brooklyn, NY",-73.94888,1,"ARAZCWP129462A97F1",181.549,"reggae",0.653306678,0.639798164,0.830592507,0.88997,0.2238,0.299,-7.865,417.671,0.0527,4,"2000"
"626",835,"BA(c)la Fleck",158.98077,2,37.1573567501336,"Not available",-63.9333578685195,1,"ARUQ3521187FB4F7CF",140.659,"bluegrass",0.57540658,0.272364626,0.566532654,0.37249,0.37249,0.322,-9.89,148.915,0.15133,1,"1980"
"627",838,"Javier Mendoza Band",295.57506,2,37.16793,"United States",-95.84502,1,"ARSPUJF1187B9A14B8",117.116,"modern rock",0,0.262906153,0.475231776,0.20019,0.20019,0.163,-4.639,290.04,0.20019,4,"Not Available"
"628",839,"Sapo",219.74159,4,34.05349,"California - LA",-118.24532,0,"ARG17O11187FB4A8DA",141.45,"latin jazz",0,0.381106492,0.480872925,0.20295,0.20295,0.224,-5.155,216.921,0.20295,1,"2000"
"629",840,"Eddie Money",189.30893,2,40.65507,"Brooklyn, NY",-73.94888,1,"ARL1AFK1187FB3B05B",86.902,"pop rock",0.426223508,0.518371606,0.688146052,0.12777,0.12777,0.062,-7.54,180.024,0.12777,5,"1970"
"630",842,"Cracker",263.8624,4,37.1573567501336,"Richmond VA",-63.9333578685195,1,"AR4ZXOB1187FB40AA9",136.459,"roots rock",0.29,0.454714841,0.640574149,0.64444,0.19378,0.148,-5.498,257.248,0.19378,4,"1990"
"631",844,"Photo Atlas",189.75302,9,37.1573567501336,"Denver, CO",-63.9333578685195,1,"AR8XOFS1187FB3711C",168.248,"dance-punk",0.666532379,0.348615302,0.59454079,0.74879,0.3872,0.296,-5.991,181.481,0.3872,4,"2000"
"632",845,"Kenny Price",129.25342,9,37.1573567501336,"Not available",-63.9333578685195,1,"AR7AP1N1187B9B034F",117.076,"country rock",0,0.268305297,0.373084302,1.36552,0.32532,0.479,-11.857,124.889,0.06622,4,"Not Available"
"633",846,"3 Doors Down",208.97914,7,37.1573567501336,"Escatawpa, MS",-63.9333578685195,1,"AR07SOR1187FB46179",128.714,"post-grunge",0.35,0.64298222,0.840432467,0.60595,0.1299,0.27,-5.371,208.979,0.1299,4,"2000"
"634",847,"Elliot Goldenthal",617.82159,2,40.71455,"New York, NY",-74.00712,1,"AR2EM731187B991455",148.505,"instrumental rock",0.394394856,0.392994623,0.599133769,3.14662,1.49308,5.161,-13.179,571.391,1.49308,5,"2000"
"635",849,"Arkona",247.01342,7,37.1573567501336,"Not available",-63.9333578685195,1,"AR1UFKB1187B98D8BD",106.724,"black metal",0.12,0.460853145,0.646322062,1.02809,0.45425,0.212,-4.568,247.013,0.0767,3,"Not Available"
"636",850,"Behemoth",178.33751,1,37.1573567501336,"POLAND",-63.9333578685195,1,"AR5Z3L01187B99C5A9",85.112,"black metal",0.651392592,0.550422825,0.84219335,0.07335,0.07335,0.311,-4.059,174.951,0.07335,1,"2000"
"637",852,"Soilwork",323.21261,7,37.1573567501336,"Helsingborg, Sweden",-63.9333578685195,1,"AR27M2F1187B9B1C50",93.235,"death metal",0,0.562881125,0.785120149,0.29696,0.29696,0.2,-3.049,318.758,0.29696,1,"2000"
"638",854,"Horace Andy",284.47302,6,18.01571,"Kingston, Jamaica",-76.79731,0,"ARABKKO11F50C4D0A5",174.282,"roots reggae",0.270775999,0.374271174,0.626436382,0.28352,0.28352,0.113,-4.812,273.421,0.28352,1,"Not Available"
"639",855,"Shaggy",232.30649,6,37.1573567501336,"Kingston, Jamaica",-63.9333578685195,1,"ARUZDCO12131B4B59C",89.998,"reggae",0,0.542175166,0.772292647,0.61472,0.61472,0.084,-7.751,223.62,0.11918,4,"1990"
"640",857,"The Rapture",218.22649,10,37.1573567501336,"Not available",-63.9333578685195,0,"ARFIU2R1187B9927F9",120.006,"alternative dance",0.62646424,0.51653518,0.749860753,0.90015,0.40278,0.177,-7.693,211.075,0.03068,4,"2000"
"641",858,"Nicole C. Mullen",164.8322,9,37.1573567501336,"Not available",-63.9333578685195,1,"ARCQGTE1187B98F814",130.64,"ccm",0,0.439024561,0.614642954,2.02783,0.1987,2.421,-5.946,157.373,0.04646,5,"Not Available"
"642",859,"Dinosaur Jr",194.40281,7,37.1573567501336,"Amherst, MA",-63.9333578685195,0,"ARJ59K61187FB5B43E",145.228,"indie rock",0.589946219,0.551552455,0.749796959,0.16382,0.16382,0.149,-6.942,175.299,0.16382,4,"1990"
"643",860,"Los Van Van",263.60118,6,21.51102,"Cuba",-77.80679,0,"ARCBPSY11F50C4A551",130.691,"salsa",0.466304831,0.400517951,0.604414492,0.89208,0.39349,0.073,-6.017,252.697,0.06025,4,"Not Available"
"644",861,"Snow Patrol",174.602,11,37.1573567501336,"Dundee, Scotland",-63.9333578685195,1,"ARSPUJF1187B9A14B8",142.01,"indie rock",0.702289777,0.667294596,0.818319359,0.30835,0.30835,0.241,-4.022,172.141,0.09525,4,"2000"
"645",862,"Lara",192.46975,2,37.1573567501336,"Not available",-63.9333578685195,1,"AROHAOK1187FB3BCFA",81.986,"visual kei",0,0.306947609,0.557571059,1.75633,0.30375,0.264,-6.533,187.582,0.30375,4,"2000"
"646",863,"Outerspace",200.9073,10,39.95227,"Philadelphia, PA",-75.16237,0,"ARXNMHW1187B9934C6",181.889,"hip hop",0.440826441,0.37235087,0.611933956,0.55399,0.22361,0.36,-4.982,194.171,0.05883,4,"2000"
"647",865,"Les Sexareenos",98.89914,4,37.1573567501336,"Not available",-63.9333578685195,1,"ARFCSIE1187B98965E",182.57,"garage rock",0.561018716,0.344171478,0.475300883,1.25005,1.25005,0.27,-7.268,98.899,1.08474,1,"2000"
"648",867,"Stevie Ray Vaughan And Double Trouble",184.2673,6,32.77815,"Dallas, TX",-96.7954,1,"ARZBUQ41187FB39D29",98.623,"texas blues",0.693478471,0.544257506,0.73379894,0.62759,0.62759,0.061,-10.72,180.251,0.32544,1,"1990"
"649",868,"The Creation",250.27873,9,51.55615,"Middlesex, England",-0.25969,1,"AREZMQ71187FB51096",85.453,"freakbeat",0.433005077,0.354454709,0.555787461,0.78113,0.78113,0.165,-10.612,244.071,0.38809,1,"1960"
"650",871,"Terry Callier",180.50567,7,41.88415,"Chicago",-87.63241,1,"ARTB5PP1187FB523B7",109.018,"soul jazz",0.360370583,0.416173065,0.706827671,0.9537,0.39475,3.512,-8.154,169.546,0.20873,3,"2000"
"651",872,"Ultimate Fakebook",149.55057,2,39.17881,"Manhattan, Kansas",-96.56183,1,"ARMHMXB1187FB55E33",115.606,"power pop",0.358976526,0.326429668,0.491695071,1.55577,0.51492,0.102,-3.287,146.564,0.25535,4,"Not Available"
"652",873,"Astarte",173.81832,4,37.97615,"Athens, Greece",23.73641,0,"ARZJUGS1187B9AE3B9",161.782,"black metal",0.43483809,0.352919184,0.537088297,0.45309,0.08168,0.241,-6.241,166.005,0.08168,3,"2000"
"653",874,"Elakelaiset",182.83057,2,37.1573567501336,"Not available",-63.9333578685195,1,"ARA5I7O1187FB3BBF7",166.906,"parody",0.444401715,0.405143447,0.508440336,0.09513,0.09513,0.188,-11.931,182.831,0.09513,1,"1990"
"654",875,"Prisma",219.66322,9,46.8132,"Switzerland",8.22395,1,"ARAVOMP1187B9B7AD4",194.704,"gabba",0,0.406749194,0.569275835,0.54492,0.23355,0.175,-10.037,219.663,0.23355,3,"Not Available"
"655",878,"Darwin Hobbs",352.86159,8,37.1573567501336,"Not available",-63.9333578685195,1,"AR6AJHY1187B996626",41.21,"religious music",0.375984302,0.40658168,0.526515278,13.3073,0.49926,0.427,-9.055,343.458,0.12782,4,"2000"
"656",880,"Tommy James & The Shondells",324.70159,11,39.75911,"Dayton, OH",-84.19444,1,"ARW3Q5W1187B9B7160",167.841,"brill building pop",0.697241445,0.390660523,0.620392056,1.0087,0.25677,0.119,-11.359,315.31,0.06878,4,"1960"
"657",881,"Marcus Miller",52.00934,9,40.65507,"Brooklyn, NY",-73.94888,1,"ARI18NF1187B99FC57",78.382,"jazz funk",0.609043943,0.412110495,0.695416519,0.56238,0.56238,0.388,-13.227,52.009,0.40789,3,"2000"
"658",882,"Charles Williams",87.87546,0,31.1689,"Texas",-100.07715,1,"ARVUDIO1187FB48DED",74.666,"latin jazz",0,0.287731468,0.389802967,0.71525,0.71525,0.18,-12.91,87.875,0.26086,1,"Not Available"
"659",884,"Hevia",261.32853,0,37.1573567501336,"Not available",-63.9333578685195,1,"ARHBYTA1187FB3C812",125.02,"folk rock",0.424090811,0.354369616,0.619530991,2.07921,2.07921,3.344,-5.764,256.11,1.85149,4,"2000"
"660",885,"John And The Bluesbreakers Mayall",304.8224,7,37.1573567501336,"Not available",-63.9333578685195,1,"AR3E4IO1187FB4B837",94.304,"blues-rock",0.531722098,0.405234691,0.626803106,0.71109,0.07394,0.212,-6.356,288.868,0.07394,3,"1960"
"661",886,"Checkers",135.70567,1,37.1573567501336,"Not available",-63.9333578685195,1,"ARY32PW1187B9B620C",135.048,"j pop",0,0.330300584,0.454122841,0.05604,0.05604,0.177,-13.42,124.889,0.05604,4,"Not Available"
"662",888,"The Grease Band",325.25016,6,37.1573567501336,"Not available",-63.9333578685195,1,"ARCZ20M1187FB49687",123.891,"swamp rock",0.219482172,0.191193994,0.324128628,1.03743,0.51854,2.728,-16.021,309.29,0.24619,4,"Not Available"
"663",889,"Bally Sagoo",373.39383,6,37.1573567501336,"Not available",-63.9333578685195,0,"ARJ5NBK1187B9AE484",111.901,"bhangra",0,0.34873593,0.58097151,0.77966,0.24324,0.362,-12.392,359.282,0.24324,4,"Not Available"
"664",890,"Champion Jack Dupree",200.80281,3,37.1573567501336,"New Orleans, LA",-63.9333578685195,1,"AR243ZT1187B9A98D2",95.026,"piano blues",0,0.313500755,0.538085501,0.68047,0.68047,0.501,-21.723,190.74,0.35159,4,"Not Available"
"665",891,"Z.Z. Hill",333.322,10,33.20271,"Naples, TX",-94.68121,1,"ARNSTGP1187FB59667",73.545,"soul blues",0.233762706,0.334415271,0.49030398,2.86027,2.86027,3.111,-8.301,329.427,2.86027,3,"1970"
"666",892,"Benabar",238.44526,4,37.1573567501336,"Not available",-63.9333578685195,0,"ARVEJ9M1187FB4DC44",88.018,"chanson",0.464923994,0.373060493,0.609294155,0.62654,0.62654,4.905,-11.258,226.186,0.17012,5,"2000"
"667",893,"John Michael Talbot",113.78893,5,35.472,"Oklahoma City, OK",-97.52033,1,"ARHO1WI1187B98CB84",96.709,"ccm",0.07,0.439488099,0.558245309,1.50941,0.85985,0.311,-21.506,108.507,0.5649,3,"1980"
"668",894,"Britney Spears",223.52934,10,34.05349,"Kentwood, LA; Los Angeles, CA",-118.24532,0,"ARX6TAQ11C8A415850",111.004,"dance pop",0.650405808,0.631289508,0.947327507,1.14876,0.06657,0.868,-5.304,214.698,0.06657,4,"2000"
"669",895,"Skeletonwitch",173.37424,9,37.1573567501336,"Not available",-63.9333578685195,1,"ARS0X0U1187FB56A9F",201.333,"speed metal",0.580900874,0.529039572,0.68955969,0.18605,0.18605,0.334,-5.516,169.059,0.18605,4,"2000"
"670",897,"Charlie Cruz",288.83546,2,37.1573567501336,"Not available",-63.9333578685195,1,"AR1PNWN1187FB4A404",200.534,"salsa",0,0.27380615,0.533453343,0.13937,0.13937,0.223,-2.968,286.076,0.13937,4,"Not Available"
"671",898,"Kix",257.2273,1,39.6425,"Hagerstown, MD",-77.71758,1,"ARYZTJS1187B98C555",140.994,"heavy metal",0.272602247,0.42356389,0.62974904,0.73292,0.31051,0.246,-2.769,242.451,0.09771,4,"Not Available"
"672",899,"Indigenous",201.482,5,37.1573567501336,"South Dakota",-63.9333578685195,1,"ART3O5Z1187B9AB043",108.018,"blues-rock",0,0.404052748,0.549529673,0.37911,0.37911,0.316,-6.724,194.908,0.09366,4,"Not Available"
"673",900,"True Believers",281.88689,4,37.1573567501336,"Not available",-63.9333578685195,1,"ARTJPA61187B9A7884",92.881,"melodic hardcore",0.260784128,0.328073305,0.494073815,0.38726,0.38726,0.223,-8.672,274.721,0.38726,4,"Not Available"
"674",902,"Slightly Stoopid",118.49098,9,32.74838,"Ocean Beach, San Diego, CA",-117.24681,1,"ARREMMW1187B9B53D5",173.709,"ska punk",0.327736683,0.48833899,0.866171076,0.60081,0.22191,0.321,-12.708,108.344,0.22191,4,"Not Available"
"675",903,"Maximilian Hecker",205.7922,8,37.1573567501336,"Not available",-63.9333578685195,1,"ARFAR1D1187B9AC420",129.488,"chamber pop",0.02,0.43568407,0.621121051,0.34572,0.34572,2.421,-8.059,192.952,0.03037,5,"2000"
"676",905,"Whitesnake",250.3571,7,51.50632,"London, England",-0.12714,1,"ARR3GSP1187B9AD4C4",125.783,"blues-rock",0.85259138,0.531303319,0.822432829,1.06593,0.59306,3.199,-7.356,240.054,0.36138,4,"1980"
"677",906,"Semisonic",258.92526,4,44.97903,"Minneapolis, MN",-93.26493,1,"AR07SOR1187FB46179",186.012,"post-grunge",0.577469083,0.47070039,0.7127449,0.39416,0.06925,0.171,-5.814,248.018,0.06925,4,"1990"
"678",907,"Laid Back",196.72771,10,56.27609,"Denmark",9.51695,0,"ARMWOS11187FB5002F",124.534,"dance pop",0.239629098,0.423323424,0.597963087,0.65178,0.17053,4.807,-4.854,186.717,0.17053,4,"Not Available"
"679",908,"Willie Clayton",238.39302,7,33.45081,"Indianola, MS",-90.645,1,"ARRPCKN1187FB5BA2F",85.973,"chicago soul",0.256188754,0.374557927,0.467054185,1.7835,0.34384,0.311,-5.906,225.367,0.16765,4,"Not Available"
"680",909,"Novaspace",231.54893,2,37.1573567501336,"Berlin, Germany",-63.9333578685195,1,"AR7PIQ01187FB49737",185.97,"trance",0.266955186,0.372307464,0.688040857,0.43282,0.11273,0.218,-7.299,227.027,0.11273,4,"2000"
"681",910,"Tom Barabas",249.20771,4,37.1573567501336,"Not available",-63.9333578685195,0,"ARQGTFX1187B98E861",121.001,"meditation",0,0.36324601,0.448025346,1.16358,0.16342,0.386,-14.094,240.774,0.16342,3,"Not Available"
"682",911,"Finntroll",255.00689,4,37.1573567501336,"Not available",-63.9333578685195,0,"ARLSF8H1187B9A76B0",149.948,"heavy metal",0.656941717,0.429097812,0.636436672,0.44938,0.44938,0.404,-5.563,250.067,0.1819,4,"2000"
"683",912,"Carlos Ponce",195.5522,0,37.1573567501336,"Not available",-63.9333578685195,1,"ARAUEGC1187B9A1C17",196.137,"male vocalist",0.41,0.303618163,0.603550952,0.39909,0.39909,0.147,-6.675,190.346,0.24335,4,"2000"
"684",913,"Colin James",233.7171,1,37.1573567501336,"Regina, Saskatchewan, Canada",-63.9333578685195,0,"AR5OH1V1187FB574C3",149.317,"blues",0.239629098,0.440867557,0.523962423,0.64128,0.24051,4.708,-7.382,222.859,0.04062,4,"2000"
"685",914,"Marlene Dietrich",159.34649,7,50.82607,"Schi?1/2erg, Germany",7.28021,1,"ARHYZVQ1187B9AD83B",42.654,"chanson",0.413752422,0.416503946,0.616896386,2.57186,1.17786,0.374,-16.163,154.749,0.11075,4,"1990"
"686",916,"Ziggy Marley And The Melody Makers",335.90812,10,37.1573567501336,"Not available",-63.9333578685195,0,"ARVVPAB122988EE272",145.222,"reggae",0.03,0.538491128,0.750479817,0.03306,0.03306,0.101,-15.889,322.961,0.03306,4,"Not Available"
"687",917,"John Mayer",407.45751,1,37.1573567501336,"Calcutta, India",-63.9333578685195,0,"ARQXC7V1187FB4DA9E",153.055,"rock",0.54,0.788137758,0.837947909,0.56649,0.17909,0.171,-7.123,399.766,0.17909,4,"Not Available"
"688",919,"Willie Clayton",287.08526,7,33.45081,"Indianola, MS",-90.645,0,"ARRPCKN1187FB5BA2F",115.938,"chicago soul",0.307824308,0.374557927,0.467054185,1.39494,0.35345,0.328,-6.36,278.094,0.18103,5,"Not Available"
"689",922,"Furry Lewis",221.962,2,37.1573567501336,"Greenwood, MS",-63.9333578685195,1,"ARE36MM1187B991E50",104.469,"country blues",0.460484845,0.368054039,0.572500601,0.55678,0.55678,1.483,-28.946,216.178,0.27969,3,"1970"
"690",923,"Cancer Bats",180.71465,6,43.64856,"Toronto, Ontario, Canada",-79.38533,0,"ARCP94M1187B9B0F56",86.01,"southern rock",0.726267401,0.533842727,0.689800593,1.05196,0.34726,0.351,-4.834,166.342,0.34726,4,"2010"
"691",924,"Roy Rogers",182.67383,7,40.58751,"Redding, CA",-122.39293,1,"ARXPMYJ11F919A78F9",185.246,"western swing",0,0.405080353,0.510367933,0.0506,0.0506,0.119,-18.118,171.77,0.0506,5,"Not Available"
"692",925,"Alexandre Desplat",239.38567,2,37.1573567501336,"Not available",-63.9333578685195,1,"ARU52PB1187FB58E46",39.451,"soundtrack",0,0.560380805,0.609816403,1.71811,1.71811,3.477,-15.668,223.457,1.08989,1,"2000"
"693",926,"Biddu",195.39546,2,37.1573567501336,"Not available",-63.9333578685195,1,"ARZNMBA1187B9B8440",108.751,"disco",0,0.297258384,0.370667208,0.61556,0.06055,1.085,-12.548,185.823,0.06055,4,"Not Available"
"694",927,"Uman",344.2673,1,50.50101,"Belgium",4.47684,1,"ARYQWJD1187FB54142",99.968,"chill-out",0.239629098,0.352364098,0.533504314,1.05485,0.45627,5.19,-15.305,327.57,0.15436,4,"Not Available"
"695",928,"Lara & Reyes",92.70812,7,37.1573567501336,"Not available",-63.9333578685195,1,"AR0F54F1187FB44536",111.727,"latin jazz",0.235614876,0.351561407,0.338956022,0.13931,0.13931,0.369,-14.919,82.158,0.13931,1,"2000"
"696",931,"Shakira",222.37995,7,37.1573567501336,"Barranquilla, Colombia",-63.9333578685195,1,"ARBHW3X1187B999013",128.217,"dance pop",0.53,0.804219797,0.833178561,0.55156,0.08632,0.27,-5.16,214.924,0.08632,4,"2000"
"697",932,"DJ Quik",260.362,7,37.1573567501336,"Compton CA",-63.9333578685195,1,"ARLSGOL1187FB51164",200.079,"gangster rap",0.22,0.413393911,0.712098902,0.48019,0.17802,0.153,-4.394,249.945,0.17802,4,"Not Available"
"698",934,"Pyranja",225.33179,10,37.1573567501336,"Not available",-63.9333578685195,0,"ARE4I0S1187B98B5C7",178.574,"pop rap",0,0.358500923,0.548672436,0.35549,0.35549,0.183,-4.166,212.387,0.35549,1,"2000"
"699",936,"Agency 1.9.9.4",230.37342,11,33.62646,"South Carolina",-80.9474,0,"ARTCUZN122C8674237",95.386,"hip hop",0.270775999,0.285110156705344,0.389902814,0.9272,0.38623,0.064,-3.062,225.373,0.10622,3,"Not Available"
"700",937,"Blackalicious",260.33587,1,38.54666,"Davis, CA",-121.74477,1,"ARV4KO21187FB38008",100.694,"hip hop",0.667410874,0.518784102,0.697113663,0.27181,0.27181,0.119,-5.869,248.413,0.27181,4,"1990"
"701",938,"Wyclef Jean featuring Butch Cassidy and Sharissa",238.47138,5,37.1573567501336,"Croix-des-Bouquets,  Haiti",-63.9333578685195,1,"ARV4KO21187FB38008",183.58,"hip hop",0.400039657,0.477889304,0.791465542,0.23767,0.23767,0.374,-3.947,227.097,0.07438,1,"2000"
"702",939,"Ben Watt feat. Estelle",389.19791,9,37.1573567501336,"Not available",-63.9333578685195,0,"ARTMP681187B9B77CD",125.992,"progressive house",0.265861049,0.385209427,0.612235271,0.65651,0.17886,0.154,-8.273,380.918,0.17886,4,"2000"
"703",940,"Naughty By Nature",245.65506,10,37.1573567501336,"East Orange, NJ",-63.9333578685195,0,"ARHIC3Q1187B9B1773",93.978,"gangster rap",0.25,0.458595403,0.679748141,0.08067,0.08067,0.096,-3.741,235.102,0.08067,4,"2000"
"704",942,"Far Too Jones",249.02485,9,37.1573567501336,"Not available",-63.9333578685195,1,"AR07SOR1187FB46179",127.267,"alternative rock",0,0.272729378,0.417170428,0.51128,0.51128,0.461,-4.771,239.984,0.25911,1,"1990"
"705",945,"Los Gaiteros de San Jacinto",234.52689,2,37.1573567501336,"Not available",-63.9333578685195,0,"ARP0UVB1187B99DA6E",171.123,"cumbia",0.192264382,0.315628274,0.36951674,0.47518,0.12264,0.374,-21.854,224.589,0.12264,4,"Not Available"
"706",947,"Shamen",443.03628,7,57.15382,"Aberdeen, Scotland",-2.10679,1,"ARHJIKW1187B9ACE16",86.561,"tech house",0,0.393660868,0.605880471,1.36767,0.66863,0.132,-6.519,430.573,0.2072,5,"2000"
"707",948,"Mighty Diamonds",208.87465,7,37.1573567501336,"Not available",-63.9333578685195,0,"ARDG1CH1187FB59AF2",162.736,"roots reggae",0,0.414609585,0.596834826,1.11887,0.37151,0.142,-10.484,201.81,0.1832,4,"Not Available"
